time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,13,5,2,2
2026-04-05 00:00:00+00:00,5,4,0,0
2026-04-06 00:00:00+00:00,2,2,0,0
2026-04-07 00:00:00+00:00,13,5,0,0
2026-04-08 00:00:00+00:00,16,9,0,0
2026-04-09 00:00:00+00:00,28,10,0,0
2026-04-10 00:00:00+00:00,10,5,0,0
2026-04-11 00:00:00+00:00,15,6,1,1
2026-04-12 00:00:00+00:00,29,11,1,1
2026-04-13 00:00:00+00:00,24,10,0,0
2026-04-14 00:00:00+00:00,21,7,0,0
2026-04-15 00:00:00+00:00,15,6,0,0
2026-04-16 00:00:00+00:00,12,7,1,1
2026-04-17 00:00:00+00:00,33,9,1,1
