time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,15,6,1,1
2026-04-12 00:00:00+00:00,29,11,1,1
2026-04-13 00:00:00+00:00,24,10,0,0
2026-04-14 00:00:00+00:00,21,7,0,0
2026-04-15 00:00:00+00:00,15,6,0,0
2026-04-16 00:00:00+00:00,12,7,1,1
2026-04-17 00:00:00+00:00,33,9,1,1
2026-04-18 00:00:00+00:00,29,11,1,1
2026-04-19 00:00:00+00:00,38,16,1,1
2026-04-20 00:00:00+00:00,34,14,3,3
2026-04-21 00:00:00+00:00,73,29,5,5
2026-04-22 00:00:00+00:00,74,24,4,1
2026-04-23 00:00:00+00:00,73,22,0,0
2026-04-24 00:00:00+00:00,74,25,0,0
